Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
Congress Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
Columbia Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
College Park-U of Md,Late Night (12am-Close),0.0K,December_21_2024,Winter
Cleveland Park,Late Night (12am-Close),0.0K,December_21_2024,Winter
Clarendon,Late Night (12am-Close),0.0K,December_21_2024,Winter
Cheverly,Late Night (12am-Close),0.0K,December_21_2024,Winter
Capitol South,Late Night (12am-Close),0.0K,December_21_2024,Winter
Capitol Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
Brookland-CUA,Late Night (12am-Close),0.0K,December_21_2024,Winter
Branch Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Braddock Road,Late Night (12am-Close),0.0K,December_21_2024,Winter
Bethesda,Late Night (12am-Close),0.0K,December_21_2024,Winter
Benning Road,Late Night (12am-Close),0.0K,December_21_2024,Winter
Ballston-MU,Late Night (12am-Close),0.0K,December_21_2024,Winter
Ashburn,Late Night (12am-Close),0.0K,December_21_2024,Winter
Arlington Cemetery,Late Night (12am-Close),0.0K,December_21_2024,Winter
Archives,Late Night (12am-Close),0.0K,December_21_2024,Winter
Anacostia,Late Night (12am-Close),0.0K,December_21_2024,Winter
Addison Road,Late Night (12am-Close),0.0K,December_21_2024,Winter
Woodley Park,Evening (7pm-12am),0.3K,December_21_2024,Winter
Wiehle-Reston East,Evening (7pm-12am),0.1K,December_21_2024,Winter
Wheaton,Evening (7pm-12am),0.2K,December_21_2024,Winter
West Hyattsville,Evening (7pm-12am),0.1K,December_21_2024,Winter
West Falls Church,Evening (7pm-12am),0.0K,December_21_2024,Winter
Waterfront,Evening (7pm-12am),0.6K,December_21_2024,Winter
Virginia Sq-GMU,Evening (7pm-12am),0.2K,December_21_2024,Winter
Vienna,Evening (7pm-12am),0.2K,December_21_2024,Winter
Van Ness-UDC,Evening (7pm-12am),0.3K,December_21_2024,Winter
Van Dorn Street,Evening (7pm-12am),0.1K,December_21_2024,Winter
Union Station,Evening (7pm-12am),2.2K,December_21_2024,Winter
U Street,Evening (7pm-12am),1.0K,December_21_2024,Winter
Tysons,Evening (7pm-12am),0.5K,December_21_2024,Winter
Twinbrook,Evening (7pm-12am),0.1K,December_21_2024,Winter
Tenleytown-AU,Evening (7pm-12am),0.9K,December_21_2024,Winter
Takoma,Evening (7pm-12am),0.2K,December_21_2024,Winter
Suitland,Evening (7pm-12am),0.1K,December_21_2024,Winter
Stadium-Armory,Evening (7pm-12am),0.1K,December_21_2024,Winter
Spring Hill,Evening (7pm-12am),0.1K,December_21_2024,Winter
Southern Ave,Evening (7pm-12am),0.1K,December_21_2024,Winter
Smithsonian,Evening (7pm-12am),0.3K,December_21_2024,Winter
Silver Spring,Evening (7pm-12am),0.5K,December_21_2024,Winter
Shaw-Howard U,Evening (7pm-12am),0.6K,December_21_2024,Winter
Shady Grove,Evening (7pm-12am),0.2K,December_21_2024,Winter
Rosslyn,Evening (7pm-12am),0.8K,December_21_2024,Winter
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.6K,December_21_2024,Winter
